,ISBN,title,author,year,publisher,alt_title,alt_author,correct_author,alt_first_author,viaf_id,viaf_name,QID,sexuality,country,language,religion,gender,ethnicity,birthyear,deathyear,label,ISBN_alt
3690,0446530522,Cane River,Lalita Tademy,2001,Warner Books,Cane River,Lalita Tademy,Lalita Tademy,Lalita Tademy,3705148,Lalita Tademy,Q21099859,,United States of America,,,female,,1948.0,,Lalita Tademy,0446530522
3695,0060517611,The Lady in Question,Victoria Alexander,2003,Avon,The Lady in Question,Victoria Alexander,Victoria Alexander,Victoria Alexander,85859178,Victoria Alexander,Q280730,,"United States of America,Canada",,,female,,1965.0,,Victoria Alexander,0060517611
3703,0345447840,The Surgeon,TESS GERRITSEN,2002,Ballantine Books,The Surgeon,Tess Gerritsen,Tess Gerritsen,Tess Gerritsen,101994701,"Tess Gerritsen, 1953-",Q6950,,United States of America,English,,female,,1953.0,,Tess Gerritsen,0345447840
3714,0553569791,The Last Innocent Man,PHILLIP M. MARGOLIN,1995,Bantam,The Last Innocent Man,Phillip Margolin,Phillip Margolin,Phillip Margolin,79106434,Phillip Margolin,Q2880806,,United States of America,,,male,,1944.0,,Phillip Margolin,0553569791
3716,044661193X,Basket Case,Carl Hiaasen,2003,Warner Books,Basket Case,Carl Hiaasen,Carl Hiaasen,Carl Hiaasen,2519004,"Carl Hiaasen, 1953-",Q726177,,United States of America,English,,male,,1953.0,,Carl Hiaasen,044661193X
3717,0446401617,Where Echoes Live,Marcia Muller,1992,Warner Books,Where Echoes Live,Marcia Muller,Marcia Muller,Marcia Muller,9866356,Marcia Muller,Q444016,,United States of America,,,female,,1944.0,,Marcia Muller,0446401617
3724,0440419468,Holes,LOUIS SACHAR,2003,Yearling,Holes,Louis Sachar,Louis Sachar,Louis Sachar,85317795,"Louis Sachar, 1954-",Q553137,,United States of America,English,,male,,1952.0,,Louis Sachar,0374332657
3725,0446359866,Presumed Innocent,Scott Turow,1989,Warner Books,Presumed Innocent,Scott Turow,Scott Turow,Scott Turow,106980468,"Scott Turow, 1949-",Q451136,,United States of America,,,male,,1949.0,,Scott Turow,0446359866
3726,0446602612,The Poet,Michael Connelly,1997,Warner Books,The Poet,Michael Connelly,Michael Connelly,Michael Connelly,19745715,"Michael Connelly, 1956-",Q313193,,United States of America,"English,American English",,male,,1956.0,,Michael Connelly,0446602612
3727,0446612790,2nd Chance,James Patterson,2003,Warner Vision,2nd Chance,James Patterson,James Patterson,James Patterson,22272314,"James Patterson, 1947-",Q311671,,United States of America,English,,male,,1947.0,,James Patterson,0316693200
3729,0446606383,The Midnight Club,James Patterson,1999,Warner Vision,,,,,22272314,"James Patterson, 1947-",Q311671,,United States of America,English,,male,,1947.0,,James Patterson,0446606383
3730,0553213148,Anne of Avonlea (Anne of Green Gables Novels (Paperback)),L.M. MONTGOMERY,1984,Bantam Classics,Anne of Avonlea,Lucy Maud Montgomery,Lucy Maud Montgomery,Lucy Maud Montgomery,30145542359096640697,"Lucy Maud Montgomery, 1874-1942",Q273034,,Canada,English,,female,,1874.0,1942.0,Lucy Maud Montgomery,0553213148
3731,0380725584,The Indian in the Cupboard (rack) (Indian in the Cupboard),Lynne Reid Banks,1995,HarperTrophy,The Indian in the Cupboard (rack),Lynne Reid Banks,Lynne Reid Banks,Lynne Reid Banks,39373210,"Lynne Reid Banks, 1929-",Q441146,,United Kingdom,English,,female,,1929.0,,Lynne Reid Banks,0380725584
3732,0679401032,Uh-Oh: Some Observations from Both Sides of the Refrigerator Door,Robert Fulghum,1991,Random House Inc,Uh-oh,Robert Fulghum,Robert Fulghum,Robert Fulghum,54778395,"Robert Fulghum, 1937-",Q3491146,,United States of America,,Unitarian Universalism,male,,1937.0,,Robert Fulghum,0679401032
3733,0394580567,It Was on Fire When I Lay Down on It,Robert Fulghum,1989,Random House Inc,It was on Fire when I Lay Down on it,Robert Fulghum,Robert Fulghum,Robert Fulghum,54778395,"Robert Fulghum, 1937-",Q3491146,,United States of America,,Unitarian Universalism,male,,1937.0,,Robert Fulghum,0394580567
3734,0394571029,All I Really Need to Know I Learned in Kindergarten: Uncommon Thoughts on Common Things,Robert Fulghum,1988,Villard Books,All I Really Need to Know I Learned in Kindergarten,Robert Fulghum,Robert Fulghum,Robert Fulghum,54778395,"Robert Fulghum, 1937-",Q3491146,,United States of America,,Unitarian Universalism,male,,1937.0,,Robert Fulghum,0394571029
3735,0440128994,God Save the Child,Robert B. Parker,1994,Dell Publishing Company,God Save the Child. (Spenser #2) (paperback),Robert B. Parker,Robert B. Parker,Robert B. Parker,101763416,"Robert B. Parker, 1932-2010",Q550819,,United States of America,,,male,,1932.0,2010.0,Robert B. Parker,0440128994
3737,0446365505,Pleading Guilty,Scott Turow,1994,Warner Books,Pleading Guilty,Scott Turow,Scott Turow,Scott Turow,106980468,"Scott Turow, 1949-",Q451136,,United States of America,,,male,,1949.0,,Scott Turow,0446365505
3739,002542730X,Politically Correct Bedtime Stories: Modern Tales for Our Life and Times,James Finn Garner,1994,John Wiley &amp; Sons Inc,Politically Correct Bedtime Stories,James Finn Garner,James Finn Garner,James Finn Garner,55824930,James Finn Garner,Q15499484,,United States of America,,,male,,1960.0,,James Finn Garner,002542730X
3740,0804111898,Uh-Oh: Some Observations from Both Sides of the Refrigerator Door,Robert Fulghum,1993,Ivy Books,Uh-oh,Robert Fulghum,Robert Fulghum,Robert Fulghum,54778395,"Robert Fulghum, 1937-",Q3491146,,United States of America,,Unitarian Universalism,male,,1937.0,,Robert Fulghum,0679401032
3743,0451203895,4 Blondes,Candace Bushnell,2002,Signet Book,4 Blondes,Candace Bushnell,Candace Bushnell,Candace Bushnell,101699170,"Candace Bushnell, 1958-",Q254820,,United States of America,,,female,,1958.0,,Candace Bushnell,0451203895
3747,0553272535,Night,Elie Wiesel,1982,Bantam Books,Night,Elie Wiesel,Elie Wiesel,Elie Wiesel,108176447,"Élie Wiesel, 1928-2016",Q18391,,"Israel,United States of America,Romania,Hungary,France",Yiddish,Judaism,male,Jewish people,1928.0,2016.0,Elie Wiesel,0553272535
3748,0445406488,The Curse of the Pharaohs,Elizabeth Peters,1988,Warner Books,The Curse of the Pharaohs,Elizabeth Peters,Elizabeth Peters,Elizabeth Peters,38191925,"Elizabeth Peters, 1927-2013",Q451009,,United States of America,,,female,,1927.0,2013.0,Barbara Mertz,0445406488
3749,0451209710,The Dewey Decimal System of Love,Josephine Carr,2003,New American Library,The Dewey Decimal System of Love,Josephine Carr,Josephine Carr,Josephine Carr,94787616,Josephine Carr,,,,,,,,,,,0451209710
3754,0425181464,Seduction in Death,J. D. Robb,2001,Berkley Publishing Group,Seduction in Death,J. D. Robb|Nora Roberts,J. D. Robb,J. D. Robb,66448023,"J. D. Robb, 1950-",Q231356,,United States of America,English,,female,,1950.0,,Nora Roberts,0425181464
3761,0451458125,"Fool Moon (The Dresden Files, Book 2)",Jim Butcher,2001,New American Library,Fool Moon,Jim Butcher,Jim Butcher,Jim Butcher,32309016,"Jim Butcher, 1971-",Q1367995,,United States of America,English,,male,,1971.0,,Jim Butcher,0451458125
3764,067150987X,Winter's Tale,Mark Helprin,1984,Pocket,Winter's Tale,Mark Helprin,Mark Helprin,Mark Helprin,110405371,"Mark Helprin, 1947-",Q1400307,,United States of America,,Judaism,male,white Americans,1947.0,,Mark Helprin,0156001942
3765,0345347951,Childhood's End,Arthur C. Clarke,1987,Del Rey Books,Childhood's End,Arthur Charles Clarke,Arthur Charles Clarke,Arthur Charles Clarke,27062571,"Arthur Charles Clarke, 1917-2008",Q47087,,"United Kingdom,Sri Lanka",English,agnosticism,male,English people,1917.0,2008.0,Arthur C. Clarke,0345347951
3767,0553574353,Helter Skelter: The True Story of the Manson Murders,Vincent Bugliosi,1996,Bantam Books,Helter Skelter,Vincent Bugliosi|Curt Gentry,Vincent Bugliosi,Vincent Bugliosi,102388509,Vincent Bugliosi,Q1677403,,United States of America,,,male,,1934.0,2015.0,Vincent Bugliosi,0553574353
3771,0671721380,Wheels Of Fire (Serrated Edge 2),Mercedes Lackey,1992,Baen,Wheels of Fire,Mercedes Lackey|Mark Shepherd,Mercedes Lackey,Mercedes Lackey,24735343,Mercedes Lackey,Q298234,,United States of America,,,female,,1950.0,,Mercedes Lackey,0671721380
3776,039480001X,The Cat in the Hat,Dr. Seuss,1957,Random House Books for Young Readers,The cat in the hat,Dr. Seuss (Theodor Seuss Geisel.),,Dr. Seuss (Theodor Seuss Geisel.),92567206,Dr Seuss,,,,,,,,,,,039480001X
3777,0345273303,Another Roadside Attraction,Robbins,1977,Ballantine Books,Another Roadside Attraction,Tom Robbins,Tom Robbins,Tom Robbins,308180309,"Tom Robbins, 1932-",Q452404,,United States of America,,,male,,1932.0,,Tom Robbins,0345273303
3781,1857022424,Shipping News,E Annie Proulx,0,Fourth Estate,The Shipping News,Annie Proulx,Annie Proulx,Annie Proulx,113957087,"Annie Proulx, 1935-",Q229840,,United States of America,English,,female,,1935.0,,Annie Proulx,0671510053
3783,068484477X,STONES FROM THE RIVER,Ursula Hegi,1997,Touchstone,Stones from the River,Ursula Hegi,Ursula Hegi,Ursula Hegi,14901464,"Ursula Hegi, 1946-",Q7901240,,United States of America,,,female,,1946.0,,Ursula Hegi,0684844729
3784,0393317552,"Guns, Germs, and Steel: The Fates of Human Societies",Jared Diamond,1999,W. W. Norton &amp; Company,"Guns, Germs, and Steel",Jared M. Diamond|Professor of Geography Jared Diamond,Jared M. Diamond,Jared M. Diamond,90709225,Jared M Diamond,Q205772,,United States of America,,atheism,male,Americans,1937.0,,Jared Diamond,0393317552
3785,0684853515,Hearts In Atlantis : New Fiction,Stephen King,1999,Scribner,Hearts in Atlantis,Stephen King,Stephen King,Stephen King,97113511,"Stephen King, 1947-",Q39829,,United States of America,English,,male,,1947.0,,Stephen King,0671024248
3786,0375504397,Black House,Stephen King,2001,Random House Trade,Black House,Stephen King|Peter Straub,Stephen King,Stephen King,97113511,"Stephen King, 1947-",Q39829,,United States of America,English,,male,,1947.0,,Stephen King,0375504397
3787,0452283205,Falling Angels,Tracy Chevalier,2002,Plume Books,Falling Angels,Tracy Chevalier,Tracy Chevalier,Tracy Chevalier,66573793,"Tracy Chevalier, 1962-",Q232212,,"United States of America,United Kingdom",,,female,,1962.0,,Tracy Chevalier,0452283205
3789,0316779237,Holidays on Ice : Stories,David Sedaris,1998,Back Bay Books,,,,,8230168,"david Sedaris, 1956-",Q1176577,,United States of America,,,male,,1956.0,,David Sedaris,0316779237
3791,0385421982,The Pelican Brief,JOHN GRISHAM,1992,Doubleday,The Pelican Brief,John Grisham,John Grisham,John Grisham,7449742,"John Grisham, 1955-",Q106465,,United States of America,English,Southern Baptist Convention,male,,1955.0,,John Grisham,0440214041
3797,0875421180,Wicca: A Guide for the Solitary Practitioner,Scott Cunningham,1988,Llewellyn Publications,Wicca,Scott Cunningham,Scott Cunningham,Scott Cunningham,73976805,"Scott Cunningham, 1956-1993",Q1339612,,United States of America,,,male,,1956.0,1993.0,Scott Cunningham,0875421180
3806,038072975X,Midnight Champagne : A Novel (Mysteries &amp; Horror),A. Manette Ansay,2000,Perennial,Midnight Champagne,A. Manette Ansay,A. Manette Ansay,A. Manette Ansay,35324234,A. Manette Ansay,Q4648168,,United States of America,,,female,,1964.0,,A. Manette Ansay,038072975X
3810,014006690X,The Women of Brewster Place (Penguin Contemporary American Fiction Series),Gloria Naylor,1983,Penguin Books,The Women of Brewster Place,Gloria Naylor,Gloria Naylor,Gloria Naylor,59679442,"Gloria Naylor, 1950-2016",Q3510225,,United States of America,English,,female,African Americans,1950.0,2016.0,Gloria Naylor,014006690X
3814,0316085251,The Boys of My Youth,Jo Ann Beard,1999,Back Bay Books,The Boys of My Youth,Jo Ann Beard,Jo Ann Beard,Jo Ann Beard,79144720,Jo Ann Beard,Q15438885,,United States of America,,,female,,1955.0,,Jo Ann Beard,0316085251
3816,0451185560,Fear of Flying,Erica Jong,1996,Signet Book,Fear of Flying,Erica Jong,Erica Jong,Erica Jong,108237346,"Erica Jong, 1942-",Q236950,,United States of America,,,female,,1942.0,,Erica Jong,0451209435
3819,0553250531,The Valley of Horses,JEAN M. AUEL,1984,Bantam,The Valley of Horses,Jean M. Auel,Jean M. Auel,Jean M. Auel,79487364,"Jean M. Auel, 1936-",Q229996,,United States of America,,,female,,1936.0,,Jean M. Auel,0553250531
3820,0553148001,The Clan of the Cave Bear : a novel,Jean M. Auel,1981,Bantam Books,The Clan of the Cave Bear,Jean M. Auel,Jean M. Auel,Jean M. Auel,79487364,"Jean M. Auel, 1936-",Q229996,,United States of America,,,female,,1936.0,,Jean M. Auel,0553148001
3827,0440213525,The Client,John Grisham,1994,Dell Publishing Company,The Client,John Grisham,John Grisham,John Grisham,7449742,"John Grisham, 1955-",Q106465,,United States of America,English,Southern Baptist Convention,male,,1955.0,,John Grisham,0440213525
3828,0451188462,Desperation,Stephen King,1997,Signet Book,Desperation,Stephen King,Stephen King,Stephen King,97113511,"Stephen King, 1947-",Q39829,,United States of America,English,,male,,1947.0,,Stephen King,0451188462
3830,0441135560,Damia (Ace Science Fiction),Anne McCaffrey,1993,ACE Charter,Damia,Anne McCaffrey,Anne McCaffrey,Anne McCaffrey,110586836,"Anne McCaffrey, 1926-2011",Q233046,,"United States of America,Republic of Ireland",,,female,,1926.0,2011.0,Anne McCaffrey,0399136487
3834,0811807282,The Secret Language of Dreams: A Visual Key to Dreams and Their Meanings,David Fontana,1994,Chronicle Books,The Secret Language of Dreams,David Fontana,David Fontana,David Fontana,61597265,David Fontana,Q3700038,,United Kingdom,,,male,,1934.0,2010.0,David Fontana,0811807282
3839,0439136350,Harry Potter and the Prisoner of Azkaban (Book 3),J. K. Rowling,1999,Scholastic,Harry Potter,J. K. Rowling,J. K. Rowling,J. K. Rowling,116796842,"J.K. Rowling, 1965-",Q34660,,United Kingdom,English,Anglicanism,female,English people,1965.0,,J. K. Rowling,0439136350
3840,0671028367,Deadly Decisions,Kathy Reichs,2001,Pocket Books,Deadly Decisions,Kathy Reichs,Kathy Reichs,Kathy Reichs,85377433,"Kathy Reichs, 1950-",Q298221,,United States of America,,,female,,1948.0,,Kathy Reichs,0671028367
3846,0440111811,Changes,Danielle Steel,1984,Dell,Changes,Danielle Steel,Danielle Steel,Danielle Steel,100238676,"Danielle Steel, 1947-",Q72653,,United States of America,English,,female,,1947.0,,Danielle Steel,0440111811
3847,0064400557,Charlotte's Web (Trophy Newbery),E. B. White,1974,HarperTrophy,Charlotte's Web,E. B. White|Kate DiCamillo,E. B. White,E. B. White,66475004,"E.B.  White, 1899-1985",Q361617,,United States of America,English,,male,,1899.0,1985.0,E. B. White,0064400557
3881,0553568728,Star Wars: The Truce at Bakura (Star Wars (Random House Paperback)),Kathy Tyers,1994,Bantam,The Truce at Bakura,Kathy Tyers,Kathy Tyers,Kathy Tyers,28743756,Kathy Tyers,Q533373,,United States of America,,,female,,1952.0,,Kathy Tyers,0553568728
3882,0553297988,"Jedi Search (Star Wars: The Jedi Academy Trilogy, Vol. 1)",Kevin J. Anderson,1994,Bantam,Jedi Search,Kevin J. Anderson,Kevin J. Anderson,Kevin J. Anderson,113153910,"Kevin J. Anderson, 1962-",Q339577,,United States of America,,,male,,1962.0,,Kevin J. Anderson,0553297988
3884,0884046818,Battlefield Earth: A Saga of the Year 3000,L. Ron Hubbard,1991,Bridge Publications,Battlefield Earth,,,,95274115,"L. Ron Hubbard, 1911-1986",Q216896,,United States of America,English,Scientology,male,,1911.0,1986.0,L. Ron Hubbard,0884046818
3890,0679448594,Primary Colors: A Novel of Politics,Anonymous,1996,Random House Inc,Primary Colors,Joe Klein|Anonymous,Anonymous,Joe Klein,64038850,Anonymous poet of Poland,Q245355,,"France,Russian Empire",Polish,,male,Poles,1812.0,1859.0,Zygmunt Krasiński,0679448594
3892,0671867172,The Lottery Winner : Alvirah And Willy Stories,Mary Higgins Clark,1995,Pocket,The Lottery Winner,Mary Higgins Clark,Mary Higgins Clark,Mary Higgins Clark,100252785,"Mary Higgins Clark, 1927–2020",Q231736,,United States of America,,Catholic Church,female,,1927.0,2020.0,Mary Higgins Clark,0671867172
3894,0061030635,Wild Justice,Phillip Margolin,2001,HarperTorch,Wild Justice,Phillip Margolin,Phillip Margolin,Phillip Margolin,79106434,Phillip Margolin,Q2880806,,United States of America,,,male,,1944.0,,Phillip Margolin,0061030635
3895,0446613436,The Guardian,Nicholas Sparks,2004,Warner Books,,,,,117604749,"Nicholas Sparks, 1965-",Q219377,,United States of America,,Catholic Church,male,,1965.0,,Nicholas Sparks,0446613436
3896,0449006530,Midnight Voices,JOHN SAUL,2003,Ballantine Books,Midnight Voices,John Saul,John Saul,John Saul,100257906,"John Saul, 1942-",Q1701683,,United States of America,,,male,,1942.0,,John Saul,0449006530
3897,006109157X,Dead Eyes,Stuart Woods,1994,HarperTorch,Dead Eyes,Stuart Woods,Stuart Woods,Stuart Woods,108957653,Stuart Woods,Q3500849,,United States of America,English,,male,,1938.0,,Stuart Woods,006109157X
3898,0440221315,The Gift,DANIELLE STEEL,1996,Dell,The Gift,Danielle Steel,Danielle Steel,Danielle Steel,100238676,"Danielle Steel, 1947-",Q72653,,United States of America,English,,female,,1947.0,,Danielle Steel,0440221315
3899,0553576011,Send No Flowers,SANDRA BROWN,2000,Bantam,Send No Flowers,Sandra Brown,Sandra Brown,Sandra Brown,114156159,"Sandra Brown, 1948-",Q258096,,United States of America,,,female,,1948.0,,Sandra Brown,0553576011
3901,0345444892,"Murder at Ford's Theatre (Truman, Margaret, Capital Crimes Series.)",MARGARET TRUMAN,2002,Ballantine Books,Murder at Ford's Theatre,Margaret Truman,Margaret Truman,Margaret Truman,110866419,"Margaret Truman, 1924-2008",Q266959,,United States of America,English,,female,,1924.0,2008.0,Margaret Truman,0345444892
3902,0446527785,A Bend in the Road,Nicholas Sparks,2001,Warner Books,A Bend in the Road,Nicholas Sparks,Nicholas Sparks,Nicholas Sparks,117604749,"Nicholas Sparks, 1965-",Q219377,,United States of America,,Catholic Church,male,,1965.0,,Nicholas Sparks,0446527785
3909,185326041X,The Great Gatsby,F. Scott Fitzgerald,1999,Lb May &amp; Assoc Inc,The Great Gatsby,Francis Scott Fitzgerald,Francis Scott Fitzgerald,Francis Scott Fitzgerald,100254195,"Francis Scott Fitzgerald, 1896-1940",Q93354,,United States of America,English,Catholic Church,male,,1896.0,1940.0,F. Scott Fitzgerald,185326041X
3911,0312272057,Dry: A Memoir,Augusten Burroughs,2003,St. Martin's Press,Dry,Augusten Burroughs,Augusten Burroughs,Augusten Burroughs,120663788,"Augusten Burroughs, 1965-",Q767439,,United States of America,,,male,,1965.0,,Augusten Burroughs,0312423799
3913,042518336X,American Fuji,Sara Backer,2002,Berkley Publishing Group,American Fuji,Sara Backer,Sara Backer,Sara Backer,301944075,"Sara Backer, 1957-",,,,,,,,,,,042518336X
3914,0613329740,Quidditch Through the Ages,J. K. Rowling,2001,Sagebrush Education Resources,Quidditch Through the Ages,J. K. Rowling,J. K. Rowling,J. K. Rowling,116796842,"J.K. Rowling, 1965-",Q34660,,United Kingdom,English,Anglicanism,female,English people,1965.0,,J. K. Rowling,0613329740
3915,0613325419,Fantastic Beasts and Where to Find Them,J. K. Rowling,2001,Sagebrush Bound,Fantastic Beasts and Where to Find Them,J.K. Rowling|Newt Scamander,J.K. Rowling,J.K. Rowling,116796842,"J.K. Rowling, 1965-",Q34660,,United Kingdom,English,Anglicanism,female,English people,1965.0,,J. K. Rowling,0613325419
3919,0836218353,Yukon Ho!,Bill Watterson,1989,Andrews McMeel Publishing,Yukon Ho!,Bill Watterson,Bill Watterson,Bill Watterson,73875998,"Bill Watterson, 1958-",Q348772,,United States of America,,,male,,1958.0,,Bill Watterson,0836218353
3921,0836204387,The Calvin and Hobbes Tenth Anniversary Book,Bill Watterson,1995,Andrews McMeel Publishing,The Calvin and Hobbes Tenth Anniversary Book,Bill Watterson,Bill Watterson,Bill Watterson,73875998,"Bill Watterson, 1958-",Q348772,,United States of America,,,male,,1958.0,,Bill Watterson,0836204387
3922,0345441435,Prospero's Children,Jan Siegel,2001,Del Rey Books,Prospero's Children,Jan Siegel,Jan Siegel,Jan Siegel,6304747,Jan Siegel,Q4978507,,,,,female,,1955.0,,Jan Siegel,0345441435
3926,0064407055,Ella Enchanted (Trophy Newbery),Gail Carson Levine,1998,HarperTrophy,Ella Enchanted,Gail Carson Levine,Gail Carson Levine,Gail Carson Levine,46922854,Gail Carson Levine,Q2897946,,United States of America,,,female,,1947.0,,Gail Carson Levine,0060558865
3927,0553262505,"A Wizard of Earthsea (Earthsea Trilogy, Book 1)",URSULA K. LE GUIN,1984,Bantam,A Wizard of Earthsea,Ursula K. Le Guin,Ursula K. Le Guin,Ursula K. Le Guin,101734435,"Ursula K. Le Guin, 1929-2018",Q181659,,United States of America,English,atheism,female,Americans,1929.0,2018.0,Ursula K. Le Guin,0553262505
3928,0689710887,Greenwitch,Susan Cooper,1986,Simon Pulse,Greenwitch,Susan Cooper,Susan Cooper,Susan Cooper,49344224,"Susan Cooper, 1935-",Q236848,,"United States of America,United Kingdom",English,,female,,1935.0,,Susan Cooper,0689710887
3929,0689710879,The Dark Is Rising,Susan Cooper,1986,Simon Pulse,The Dark is Rising,Susan Cooper,Susan Cooper,Susan Cooper,49344224,"Susan Cooper, 1935-",Q236848,,"United States of America,United Kingdom",English,,female,,1935.0,,Susan Cooper,0689710879
3930,0020427859,"Over Sea, Under Stone",Susan Cooper,1989,Simon Pulse,"Over Sea, Under Stone",Susan Cooper,Susan Cooper,Susan Cooper,49344224,"Susan Cooper, 1935-",Q236848,,"United States of America,United Kingdom",English,,female,,1935.0,,Susan Cooper,0020427859
3933,0316107018,"Politically, Fashionably, and Aerodynamically Incorrect: The First Outland Collection",Berkeley Breathed,1992,Little Brown &amp; Co,"Politically, Fashionably, and Aerodynamically Incorrect",Berke Breathed,Berke Breathed,Berke Breathed,94361982,Berke Breathed,Q322369,,United States of America,,atheism,male,,1957.0,,Berkeley Breathed,0316107018
3935,0441068804,The Blue Sword,Robin McKinley,1991,Ace Books,The Blue Sword,Robin McKinley,Robin McKinley,Robin McKinley,22732031,"Robin Mckinley, 1952-",Q3064461,,United States of America,,,female,,1952.0,,Robin McKinley,0441068804
3939,0316096199,Lucky : A Memoir,Alice Sebold,2002,Back Bay Books,Lucky,Alice Sebold,Alice Sebold,Alice Sebold,100246649,"Alice Sebold, 1963-",Q239934,,United States of America,English,,female,,1963.0,,Alice Sebold,0684857820
3968,0060532149,Bare Necessity,Carole Matthews,2003,Avon Trade,Bare Necessity,Carole Matthews,Carole Matthews,Carole Matthews,87520532,Carole Matthews,Q5044713,,,,,female,,1950.0,,Carole Matthews,0060532149
3969,081296683X,Girls' Poker Night: A Novel,Jill Davis,2003,Random House Trade,Girls' Poker Night,Jill Davis,Jill Davis,Jill Davis,5990824,"Jill Davis American author of screenplays, television pilots, and short stories",Q6192797,,United States of America,,,female,,1966.0,,Jill Davis,081296683X
3979,0375713751,I Don't Know How She Does It,ALLISON PEARSON,2003,Knopf,Missing May,Cynthia Rylant,,Cynthia Rylant,23201016,"Allison Pearson, 1960-",Q4732812,,United Kingdom,,,female,,1960.0,,Allison Pearson,0375713751
3995,0684859777,Eat Mangoes Naked : Finding Pleasure Everywhere (and dancing with the Pits),Sark,2001,Fireside,Eat Mangoes Naked,SARK,SARK,SARK,44353874,Sarkis Paradjanian,Q311311,,Soviet Union,,,male,Armenians,1924.0,1990.0,Sergei Parajanov,0684859777
3999,0440224845,Bittersweet,DANIELLE STEEL,2000,Dell,Bittersweet,Danielle Steel,Danielle Steel,Danielle Steel,100238676,"Danielle Steel, 1947-",Q72653,,United States of America,English,,female,,1947.0,,Danielle Steel,0440224845
4000,0671864173,WAITING TO EXHALE,Terry McMillan,1993,Pocket,Waiting to Exhale,Terry McMillan,Terry McMillan,Terry McMillan,84546714,"Terry McMillan, 1951-",Q535856,,United States of America,,,female,African Americans,1951.0,,Terry McMillan,0671537458
4002,0373079613,"Enchanted: The Donovan Legacy (Intimate Moments, #961)",Nora Roberts,1999,Silhouette,Enchanted,Nora Roberts,Nora Roberts,Nora Roberts,66448023,"Nora Roberts, 1950-",Q231356,,United States of America,English,,female,,1950.0,,Nora Roberts,0373079613
4003,0440200989,Weep No More My Lady,Mary Higgins Clark,1993,Dell,"Weep No More, My Lady",Mary Higgins Clark,Mary Higgins Clark,Mary Higgins Clark,100252785,"Mary Higgins Clark, 1927–2020",Q231736,,United States of America,,Catholic Church,female,,1927.0,2020.0,Mary Higgins Clark,0440200989
4004,0671568175,Let Me Call You Sweetheart,Mary Higgins Clark,1996,Pocket,Let Me Call You Sweetheart,Mary Higgins Clark,Mary Higgins Clark,Mary Higgins Clark,100252785,"Mary Higgins Clark, 1927–2020",Q231736,,United States of America,,Catholic Church,female,,1927.0,2020.0,Mary Higgins Clark,0671568175
4005,0449221504,K Is for Killer (Kinsey Millhone Mysteries (Paperback)),Sue Grafton,1999,Fawcett Books,"""K"" is for Killer",Sue Grafton,Sue Grafton,Sue Grafton,113386374,Sue Grafton,Q234865,,United States of America,English,,female,,1940.0,2017.0,Sue Grafton,0805019367
4006,0446607193,Unspeakable,Sandra Brown,1999,Warner Books,Unspeakable,Sandra Brown,Sandra Brown,Sandra Brown,114156159,"Sandra Brown, 1948-",Q258096,,United States of America,,,female,,1948.0,,Sandra Brown,0446607193
4007,0671705091,A Knight in Shining Armor,Jude Deveraux,1990,Pocket,A Knight in Shining Armor,Jude Deveraux,Jude Deveraux,Jude Deveraux,120685207,"Jude Deveraux, 1947-",Q435326,,United States of America,,,female,,1947.0,,Jude Deveraux,0671705091
4010,0373484003,Irish Hearts,Nora Roberts,2000,Silhouette,Irish Hearts,Nora Roberts,Nora Roberts,Nora Roberts,66448023,"Nora Roberts, 1950-",Q231356,,United States of America,English,,female,,1950.0,,Nora Roberts,0373484003
4012,0440223237,Malice,DANIELLE STEEL,1997,Dell,Malice,Danielle Steel,Danielle Steel,Danielle Steel,100238676,"Danielle Steel, 1947-",Q72653,,United States of America,English,,female,,1947.0,,Danielle Steel,0440223237
4015,1558747109,"Chicken Soup for the Cat and Dog Lover's Soul - Celebrating Pets as Family with Stories About Cats, Dogs and Other Critters",Jack Canfield,1999,Health Communications,Chicken Soup for the Cat & Dog Lover's Soul,Jack Canfield,Jack Canfield,Jack Canfield,97718147,"Jack Canfield, 1944-",Q1374512,,United States of America,,,male,,1944.0,,Jack Canfield,1558747109
4016,0786884142,A Monk Swimming : A Memoir,Malachy McCourt,1999,Hyperion,A Monk Swimming,Malachy Mccourt,Malachy Mccourt,Malachy Mccourt,117616184,"Malachy McCourt, 1931-",Q1276083,,United States of America,English,,male,,1931.0,,Malachy McCourt,0786863986
4017,0767905385,Catch Me If You Can: The True Story of a Real Fake,Stan Redding,2000,Broadway,Catch Me If You Can,Frank W. Abagnale|Stan Redding,Stan Redding,Frank W. Abagnale,39894180,Stan Redding,,,,,,,,,,,0767905385
4018,0671793551,"A Fever in the Heart : Ann Rule's Crime Files, Volume III",Ann Rule,1996,Pocket,A Fever In The Heart,Ann Rule,Ann Rule,Ann Rule,8777321,Ann Rule,,,,,,,,,,,0671793551
4020,0440211263,Circle of Friends,Maeve Binchy,1991,Dell,Circle of Friends,Maeve Binchy,Maeve Binchy,Maeve Binchy,113069974,"Maeve Binchy, 1940-2012",Q152690,,Republic of Ireland,English,,female,,1940.0,2012.0,Maeve Binchy,0440211263
4021,0553260111,The Bourne Identity,Robert Ludlum,1984,Bantam Books,The Bourne Identity,Robert Ludlum,Robert Ludlum,Robert Ludlum,109373898,"Robert Ludlum, 1927-2001",Q224113,,United States of America,,,male,,1927.0,2001.0,Robert Ludlum,0553260111
